"","tube.no","pot.no","intercept","intercept.pvalue","slope","slope.pvalue","adj.R2"
"228","Q_289","Q_289","-2.39438171510141","0.000172073971886608","0.232426585273938","0.00151449038292018","0.921411422598146"
"229","Q_326","Q_291","-2.83276693242461","1.0984094702409e-05","0.228023884689484","0.000100699552885439","0.920711743379119"
"230","","Q_293","-2.72064006183017","5.45079184961651e-06","0.234873299060346","6.4145304375512e-05","0.897971102526358"
"231","Q_294","Q_294","-2.41729577088607","0.0743873936947953","0.219148280824698","0.263783352500168","0.675834616507216"
"232","Q_295","Q_295","-2.4613404765457","7.04448209292698e-08","0.260792620565998","2.25937542536244e-07","0.979515645714195"
"233","Q_296","Q_296","-2.120864971767","0.103116013745969","0.213749766331666","0.32048281883377","0.534545485500877"
"234","Q_297","Q_297","-2.44191066499679","6.36785346371972e-08","0.23814164958686","3.61588730954637e-07","0.976576780801143"
"235","","Q_299","-2.76995887586759","3.1827788948979e-08","0.245779057417672","3.47944127596351e-07","0.976832210916421"
"236","Q_300","Q_300","-2.36433535907544","1.01139050257074e-07","0.231649371062668","5.54334206530193e-07","0.973543502686744"
"237","","Q_301","-3.00916145307523","5.87406097833307e-09","0.286673875598714","3.97233162005035e-08","0.987524251951589"
"238","Q_302","Q_302","-2.88494908424436","1.09535923341454e-07","0.286123503263665","5.51881998046479e-07","0.9735769068876"
"239","","Q_303","-2.96408945852027","5.73260996985782e-05","0.166777861727248","0.00311942299320194","0.755912626800381"
"240","Q_304","Q_304","-2.87467713591213","5.43272597915753e-06","0.220064625490331","6.7662448905892e-05","0.930476979865465"
"241","Q_305","Q_305","-2.57850596140984","0.113023173069821","0.261293413900989","0.344718887597373","0.468710121042036"
"242","Q_306","Q_306","-3.15591604348683","1.29213659647654e-05","0.251786040499948","0.000123872235316018","0.915098828071494"
"243","Q_307","Q_307","-2.2709751270491","NaN","0.315014639109979","NaN","NaN"
"244","Q_308","Q_308","-2.20526728865203","0.0092906205223816","0.301036327076422","0.0231100566672877","0.99736560438724"
"245","Q_311","Q_311","-2.50360401479595","NaN","0.349438926920179","NaN","NaN"
"246","Q_314","Q_314","-2.29454590267937","NaN","0.363524366117813","NaN","NaN"
"247","Q_315","Q_315","-2.23229558971431","NaN","0.254206539885122","NaN","NaN"
"248","Q_317","Q_317","-2.86087527677215","NaN","0.489297308719728","NaN","NaN"
"249","","Q_318","-2.81638442983284","1.54593220200105e-08","0.306004497673996","4.18944550198979e-08","0.987333354484425"
"250","Q_301","Q_320","-2.34905409082368","NaN","0.346573590279973","NaN","NaN"
"251","Q_323","Q_323","-2.36075164936352","1.7561459634692e-05","0.251336257284436","5.14021941406494e-05","0.904164957720412"
"252","Q_324","Q_324","-2.31280904949892","6.72086371063098e-08","0.297004658750471","5.7122893549697e-08","0.986161655741839"
"253","Q_325","Q_325","-2.3876202715751","1.2550349187988e-08","0.285559337012768","1.74759027649436e-08","0.990130613425244"
"254","","Q_326","-3.56539757701161","1.096517282512e-06","0.250821019254032","2.31521409365415e-05","0.951259965729128"
"255","Q_293","Q_327","-2.57279232330732","3.29169637921623e-08","0.275263109783358","9.90267303140731e-08","0.983809773223401"
"256","Q_329","Q_329","-2.35978287179957","2.08060413936934e-08","0.280715018921455","3.00625100825902e-08","0.988477943396287"
"257","Q_330","Q_330","-3.58505977172481","NaN","0.589327498170823","NaN","NaN"
"258","Q_299","Q_331","-3.01742085381749","2.85342679620127e-05","0.281930868544371","0.000109945709820176","0.918377369324399"
"259","Q_352","Q_332","-2.38559965929694","1.94919047497046e-10","0.274189905837665","3.58940370054402e-10","0.996745744924423"
"260","Q_333","Q_333","-2.29889482743718","3.05258375550449e-05","0.304135745194558","8.29026111192811e-05","0.981460476010167"
"261","Q_334","Q_334","-2.25688993886183","0.0733211210112673","0.298177872785078","0.18404481871865","0.837451098237564"
"262","Q_318","Q_335","-1.97436255120951","NaN","0.326703425955216","NaN","NaN"
"263","Q_336","Q_336","-2.14373329890118","0.0516101004363171","0.223612832420409","0.164663205280831","0.869155258969816"
"264","Q_337","Q_337","-2.97167979684234","1.99812495186519e-07","0.320171920986084","5.68364520759046e-07","0.973354387316958"
"265","Q_358","Q_338","-2.40292890688737","1.64434415584768e-07","0.288498897152643","2.22386647152096e-07","0.979607963063775"
"266","Q_339","Q_339","-2.43710401163551","1.77220717993599e-06","0.259514613421461","5.36627209194982e-06","0.949513623798636"
"267","Q_312","Q_340","-2.65606656585815","1.73480003220195e-06","0.299752355724492","3.55130819966948e-06","0.955105330492029"
"268","Q_341","Q_341","-2.76435369540581","2.34961236457631e-06","0.299519989667919","6.31187355725551e-06","0.94713011926073"
"269","Q_342","Q_342","-2.80849163794712","0.0560126155180798","0.403670073097288","0.130843727348922","0.916698703757909"
"270","Q_343","Q_343","-2.16050506071309","NaN","0.317452294992226","NaN","NaN"
"271","Q_344","Q_344","-2.01839746978392","0.0647011057591331","0.252618495114907","0.171904520101934","0.857680928353702"
"272","Q_345","Q_345","-2.94365615840527","4.20454114938907e-07","0.279107341522321","2.83769200182298e-06","0.957880746933151"
"273","Q_303","Q_346","-2.79934151475607","1.28440019581652e-07","0.326765823530608","2.10965076823127e-07","0.979912248588594"
"274","Q_348","Q_348","-2.85533304479443","5.66403081827576e-08","0.330951972356229","9.78450685244075e-08","0.983865120507474"
"275","Q_350","Q_350","-2.61772465397433","0.0727688744546578","0.268717678253884","0.231128577326606","0.747761658590049"
"276","Q_351","Q_351","-2.31434707651471","1.56996313128879e-07","0.258228734985444","5.25823577820637e-07","0.986144286560036"
"277","Q_353_D8","Q_353","-2.52452061150158","0.00255357484936265","0.308846129021642","0.0108700106101645","0.967567203865504"
