transcript_ID,module
BraA01g013190.3C,none
BraA01g013200.3C,pink
BraA01g013240.3C,turquoise
BraA01g013250.3C,none
BraA01g013280.3C,greenyellow
BraA01g013290.3C,none
BraA01g013300.3C,lightyellow
BraA01g013360.3C,grey
BraA01g013370.3C,none
BraA01g013390.3C,none
BraA01g013420.3C,purple
BraA01g013430.3C,turquoise
BraA01g013500.3C,none
BraA01g013570.3C,brown
BraA01g013600.3C,none
BraA01g013640.3C,blue
BraA01g013650.3C,lightcyan
BraA01g013670.3C,brown
BraA01g013720.3C,none
BraA01g013760.3C,greenyellow
BraA01g013790.3C,purple
BraA01g013810.3C,blue
BraA01g013840.3C,tan
BraA01g013900.3C,blue
BraA01g013910.3C,greenyellow
BraA01g013920.3C,lightgreen
BraA01g013990.3C,none
BraA01g014000.3C,none
BraA01g014050.3C,none
BraA01g014060.3C,grey
BraA01g014090.3C,salmon
BraA01g014100.3C,black
BraA01g014170.3C,none
BraA01g014210.3C,turquoise
BraA01g014220.3C,none
BraA01g014230.3C,yellow
BraA01g014280.3C,magenta
BraA01g014290.3C,yellow
BraA01g014310.3C,none
BraA01g014320.3C,none
BraA01g014330.3C,none
BraA01g014340.3C,none
BraA01g014350.3C,green
BraA01g014360.3C,brown
BraA01g014380.3C,turquoise
BraA01g014400.3C,turquoise
BraA01g014450.3C,blue
BraA01g014460.3C,none
BraA01g014470.3C,grey
BraA01g014480.3C,none
BraA01g014490.3C,grey
BraA01g014510.3C,magenta
BraA01g014520.3C,none
BraA01g014540.3C,none
BraA01g014550.3C,turquoise
BraA01g014560.3C,cyan
BraA01g014580.3C,none
BraA01g014610.3C,none
BraA01g014620.3C,turquoise
BraA01g014630.3C,red
BraA01g014640.3C,none
BraA01g014660.3C,none
BraA01g014670.3C,midnightblue
BraA01g014680.3C,none
BraA01g014710.3C,purple
BraA01g014750.3C,none
BraA01g014770.3C,turquoise
BraA01g014780.3C,turquoise
BraA01g014790.3C,darkgreen
BraA01g014810.3C,turquoise
BraA01g014820.3C,grey
BraA01g014830.3C,none
BraA01g014860.3C,turquoise
BraA01g014870.3C,brown
BraA01g014910.3C,blue
BraA01g014930.3C,none
BraA01g014950.3C,none
BraA01g014970.3C,grey
BraA01g014980.3C,none
BraA01g014990.3C,none
BraA01g015000.3C,green
BraA01g015010.3C,blue
BraA01g015030.3C,lightyellow
BraA01g015050.3C,none
BraA01g015060.3C,turquoise
BraA01g015070.3C,none
BraA01g015110.3C,none
BraA01g015140.3C,none
BraA01g015150.3C,turquoise
BraA01g015170.3C,yellow
BraA01g015180.3C,blue
BraA01g015190.3C,none
BraA01g015200.3C,none
BraA01g015210.3C,darkgreen
BraA01g015230.3C,blue
BraA01g015250.3C,none
BraA01g015260.3C,pink
BraA01g015270.3C,none
BraA01g015280.3C,grey
BraA01g015300.3C,none
BraA01g015310.3C,none
BraA01g015320.3C,none
BraA01g015330.3C,none
BraA01g015340.3C,none
BraA01g015350.3C,grey
BraA01g015360.3C,turquoise
BraA01g015370.3C,none
BraA01g015380.3C,none
BraA01g015390.3C,none
BraA01g015400.3C,none
BraA01g015430.3C,none
BraA01g015440.3C,none
BraA01g015450.3C,none
BraA01g015470.3C,magenta
BraA01g015490.3C,none
BraA01g015510.3C,none
BraA01g015520.3C,none
BraA01g015530.3C,lightyellow
BraA01g015550.3C,none
BraA01g015560.3C,none
BraA01g015570.3C,none
BraA01g015580.3C,none
BraA01g015590.3C,none
BraA01g015600.3C,none
BraA01g015610.3C,none
BraA01g015640.3C,none
BraA01g015650.3C,grey60
BraA01g015670.3C,none
BraA01g015690.3C,none
BraA01g015710.3C,salmon
BraA01g015740.3C,greenyellow
BraA01g015790.3C,none
BraA01g015800.3C,blue
BraA01g015810.3C,greenyellow
BraA01g015820.3C,grey
BraA01g015830.3C,none
BraA01g015860.3C,grey
BraA01g015870.3C,red
BraA01g015880.3C,lightyellow
BraA01g015910.3C,orange
BraA01g015920.3C,none
BraA01g015930.3C,turquoise
BraA01g015970.3C,none
BraA01g015980.3C,turquoise
BraA01g015990.3C,turquoise
BraA01g016000.3C,turquoise
BraA01g016010.3C,turquoise
BraA01g016030.3C,none
BraA01g016080.3C,none
BraA01g016090.3C,none
BraA01g016100.3C,none
BraA01g016240.3C,green
BraA01g016250.3C,none
BraA01g016300.3C,none
BraA01g016310.3C,turquoise
BraA01g016340.3C,none
BraA01g016350.3C,none
BraA01g016360.3C,none
BraA01g016370.3C,yellow
BraA01g016380.3C,none
BraA01g016400.3C,none
BraA01g016410.3C,none
BraA01g016420.3C,none
BraA01g016430.3C,pink
BraA01g016440.3C,none
BraA01g016450.3C,none
BraA01g016460.3C,midnightblue
BraA01g016470.3C,brown
BraA01g016480.3C,none
BraA01g016520.3C,none
BraA01g016530.3C,grey
BraA01g016540.3C,turquoise
BraA01g016560.3C,darkturquoise
BraA01g016610.3C,turquoise
BraA01g016620.3C,none
BraA01g016630.3C,none
BraA01g016640.3C,none
BraA01g016660.3C,black
BraA01g016680.3C,salmon
BraA01g016690.3C,cyan
BraA01g016760.3C,darkgreen
BraA01g016770.3C,turquoise
BraA01g016790.3C,blue
BraA01g016800.3C,green
BraA01g016820.3C,none
BraA01g016830.3C,grey
BraA01g016840.3C,none
BraA01g016850.3C,none
BraA01g016870.3C,blue
BraA01g016880.3C,green
BraA01g016890.3C,turquoise
BraA01g016920.3C,purple
BraA01g016940.3C,turquoise
BraA01g016950.3C,none
BraA01g016970.3C,none
BraA01g017000.3C,none
BraA01g017010.3C,none
BraA01g017080.3C,none
BraA01g017090.3C,none
BraA01g017120.3C,none
BraA01g017170.3C,none
BraA01g017180.3C,none
BraA01g017190.3C,yellow
BraA01g017200.3C,turquoise
BraA01g017210.3C,none
BraA01g017240.3C,brown
BraA01g017250.3C,none
BraA01g017260.3C,none
BraA01g017280.3C,none
BraA01g017300.3C,none
BraA01g017320.3C,none
BraA01g017330.3C,darkred
BraA01g017350.3C,none
BraA01g017360.3C,none
BraA01g017370.3C,none
BraA01g017380.3C,none
BraA01g017410.3C,grey
BraA01g017420.3C,cyan
BraA01g017440.3C,none
BraA01g017450.3C,grey
BraA01g017460.3C,none
BraA01g017480.3C,none
BraA01g017500.3C,none
BraA01g017510.3C,none
BraA01g017530.3C,none
BraA01g017570.3C,none
BraA01g017580.3C,blue
BraA01g017610.3C,none
BraA01g017690.3C,yellow
BraA01g017710.3C,turquoise
BraA01g017720.3C,none
