target_id	length	eff_length	est_counts	tpm
BraA01g004920.3C	1515	1266	512	43.8888
BraA01g004930.3C	1485	1236	359	31.5205
BraA01g004940.3C	1419	1170	8.31811	0.771536
BraA01g004950.3C	435	186	2	1.1669
BraA01g004960.3C	1434	1185	45	4.12108
BraA01g004970.3C	1158	909	3	0.358158
BraA01g004980.3C	3138	2889	1611	60.5153
BraA01g004990.3C	636	387	22	6.1692
BraA01g005000.3C	1401	1152	0	0
BraA01g005010.3C	285	49.2452	0	0
BraA01g005020.3C	231	26.552	0	0
BraA01g005030.3C	942	693	0	0
BraA01g005040.3C	942	693	0	0
BraA01g005050.3C	285	49.2452	0	0
BraA01g005060.3C	285	49.2452	0	0
BraA01g005070.3C	291	52.9567	0	0
BraA01g005080.3C	585	336	0	0
BraA01g005090.3C	945	696	0	0
BraA01g005100.3C	1464	1215	157	14.023
BraA01g005110.3C	504	255	49	20.8532
BraA01g005120.3C	4275	4026	80.6664	2.17438
BraA01g005130.3C	2169	1920	221	12.4913
BraA01g005140.3C	582	333	37	12.058
BraA01g005150.3C	945	696	29	4.52175
BraA01g005160.3C	2502	2253	311.408	14.9998
BraA01g005170.3C	492	243	1	0.446592
BraA01g005180.3C	582	333	353	115.04
BraA01g005190.3C	2361	2112	986	50.6641
BraA01g005200.3C	1392	1143	118	11.2035
BraA01g005210.3C	879	630	165	28.4224
BraA01g005220.3C	5469	5220	224	4.65688
BraA01g005230.3C	1710	1461	13	0.965629
BraA01g005240.3C	690	441	6	1.47649
BraA01g005250.3C	1284	1035	277	29.044
BraA01g005260.3C	558	309	11.0722	3.88861
BraA01g005270.3C	186	17.5397	0	0
BraA01g005280.3C	885	636	0	0
BraA01g005290.3C	573	324	0	0
BraA01g005300.3C	1110	861	0	0
BraA01g005310.3C	1956	1707	207.008	13.1605
BraA01g005320.3C	444	195	0	0
BraA01g005330.3C	1674	1425	3	0.228467
BraA01g005340.3C	2739	2490	39	1.69974
BraA01g005350.3C	1341	1092	1073.89	106.722
BraA01g005360.3C	1938	1689	79	5.07592
BraA01g005370.3C	6456	6207	53	0.926641
BraA01g005380.3C	351	102.641	32	33.8333
BraA01g005390.3C	846	597	49	8.90716
BraA01g005400.3C	2499	2250	1	0.048232
BraA01g005410.3C	2682	2433	0	0
BraA01g005420.3C	1197	948	153	17.5146
BraA01g005430.3C	1947	1698	290	18.5344
BraA01g005440.3C	3276	3027	299	10.7195
BraA01g005450.3C	1845	1596	0	0
BraA01g005460.3C	1116	867	0	0
BraA01g005470.3C	927	678	769	123.088
BraA01g005480.3C	684	435	19.9278	4.97149
BraA01g005490.3C	1329	1080	52	5.22513
BraA01g005500.3C	510	261	7	2.91055
BraA01g005510.3C	1035	786	9	1.24262
BraA01g005520.3C	906	657	47	7.76336
BraA01g005530.3C	2412	2163	409.856	20.5633
BraA01g005540.3C	1257	1008	7	0.753624
BraA01g005550.3C	1365	1116	0	0
BraA01g005560.3C	534	285	148.692	56.6186
BraA01g005570.3C	3657	3408	331.273	10.5488
BraA01g005580.3C	2649	2400	0	0
BraA01g005590.3C	369	120.184	51	46.0511
BraA01g005600.3C	1089	840	87	11.2398
BraA01g005610.3C	1584	1335	40	3.25159
BraA01g005620.3C	1185	936	33	3.82609
BraA01g005630.3C	2319	2070	25	1.31065
BraA01g005640.3C	2229	1980	474	25.9795
BraA01g005650.3C	3207	2958	1113.87	40.8651
BraA01g005660.3C	1149	900	335	40.3943
BraA01g005670.3C	1056	807	688.645	92.606
BraA01g005680.3C	1083	834	0	0
BraA01g005690.3C	1176	927	0	0
BraA01g005700.3C	1896	1647	155	10.2131
BraA01g005710.3C	747	498	145	31.5977
BraA01g005720.3C	1293	1044	1183.59	123.032
BraA01g005730.3C	1902	1653	0	0
BraA01g005740.3C	2499	2250	90	4.34088
BraA01g005750.3C	720	471	10	2.30407
BraA01g005760.3C	1122	873	0	0
BraA01g005770.3C	1884	1635	1032	68.4982
BraA01g005780.3C	696	447	0	0
BraA01g005790.3C	519	270	0	0
BraA01g005800.3C	729	480	80	18.087
BraA01g005810.3C	1842	1593	447.993	30.5191
BraA01g005820.3C	537	288	25	9.4203
BraA01g005830.3C	2262	2013	118	6.36144
BraA01g005840.3C	2733	2484	355.267	15.521
BraA01g005850.3C	2172	1923	143	8.07001
BraA01g005860.3C	663	414	37	9.69882
BraA01g005870.3C	702	453	44	10.5408
BraA01g005880.3C	1047	798	159	21.6228
BraA01g005890.3C	249	32.2352	0	0
BraA01g005900.3C	249	32.2352	0	0
BraA01g005910.3C	375	126.116	0	0
BraA01g005920.3C	2169	1920	955	53.9783
BraA01g005930.3C	1485	1236	311	27.3061
BraA01g005940.3C	1857	1608	43	2.90202
BraA01g005950.3C	1125	876	203	25.1483
BraA01g005960.3C	744	495	26	5.70014
BraA01g005970.3C	612	363	289	86.399
BraA01g005980.3C	2625	2376	108	4.93281
BraA01g005990.3C	396	147.02	6	4.42888
BraA01g006000.3C	693	444	23	5.62163
BraA01g006010.3C	3285	3036	0	0
BraA01g006020.3C	2268	2019	0	0
BraA01g006030.3C	789	540	0	0
BraA01g006040.3C	1533	1284	247	20.8761
BraA01g006050.3C	2394	2145	501.372	25.3659
BraA01g006060.3C	603	354	0	0
BraA01g006070.3C	393	144.026	1	0.75349
BraA01g006080.3C	1188	939	0	0
BraA01g006090.3C	2115	1866	11	0.639732
BraA01g006100.3C	510	261	241	100.206
BraA01g006110.3C	303	61.1732	0	0
